country,year,sustainable_index_score,no_poverty_score,zero_hunger_score,good_health_score,quality_education_score,gender_equality_score,clean_water_sanitation_score,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,URL
Sweden,2021,86.1,98.9,63.1,96.9,99.8,91.2,95.1,7.363,1.478,1.062,0.763,0.685,0.244,0.448,https://www.worldometers.info//img/flags/small/tn_sw-flag.gif
Switzerland,2021,81.5,99.4,67.9,96.7,98.5,85.8,90.5,7.571,1.566,1.079,0.816,0.653,0.204,0.413,https://www.worldometers.info//img/flags/small/tn_sz-flag.gif
Tajikistan,2021,69.3,80.0,65.1,67.4,73.5,56.5,59.5,5.466,0.508,0.895,0.498,0.548,0.152,0.247,https://www.worldometers.info//img/flags/small/tn_ti-flag.gif
Tanzania,2021,57.1,24.4,62.0,46.4,48.7,70.6,51.7,3.623,0.433,0.54,0.3,0.549,0.307,0.231,
Thailand,2021,74.3,98.5,58.6,79.0,96.5,70.8,76.0,5.985,1.107,0.957,0.596,0.611,0.375,0.028,https://www.worldometers.info//img/flags/small/tn_th-flag.gif
Togo,2021,56.1,29.3,60.8,45.4,80.1,42.3,50.9,4.107,0.254,0.239,0.203,0.289,0.209,0.107,https://www.worldometers.info//img/flags/small/tn_to-flag.gif
Tunisia,2021,72.9,97.8,61.5,79.3,93.1,50.8,63.9,4.596,0.919,0.515,0.59,0.334,0.057,0.044,https://www.worldometers.info//img/flags/small/tn_ts-flag.gif
Uganda,2021,54.6,24.3,66.5,49.0,40.8,67.8,47.4,4.636,0.364,0.718,0.24,0.398,0.267,0.054,https://www.worldometers.info//img/flags/small/tn_ug-flag.gif
United Kingdom,2021,81.7,98.9,68.4,93.5,98.2,84.1,94.4,7.064,1.423,1.062,0.757,0.58,0.34,0.306,https://www.worldometers.info//img/flags/small/tn_uk-flag.gif
United States,2021,76.0,98.8,68.6,89.2,93.9,76.6,83.6,6.951,1.533,1.03,0.621,0.554,0.252,0.154,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Uruguay,2021,77.9,98.3,67.5,84.4,90.7,76.2,75.8,6.431,1.164,1.042,0.649,0.625,0.128,0.223,https://www.worldometers.info//img/flags/small/tn_uy-flag.gif
Uzbekistan,2021,71.3,59.1,67.3,77.5,85.1,85.0,58.8,6.179,0.769,1.027,0.528,0.716,0.391,0.271,https://www.worldometers.info//img/flags/small/tn_uz-flag.gif
Vietnam,2021,72.3,95.6,73.5,68.5,97.4,74.1,74.3,5.411,0.817,0.873,0.616,0.679,0.124,0.091,https://www.worldometers.info//img/flags/small/tn_vi-flag.gif
Zambia,2021,53.2,9.7,59.4,44.9,66.7,65.1,52.9,4.073,0.528,0.552,0.231,0.487,0.227,0.074,https://www.worldometers.info//img/flags/small/tn_za-flag.gif
Zimbabwe,2021,54.8,20.8,48.4,41.9,62.5,77.1,51.1,3.145,0.457,0.649,0.243,0.359,0.157,0.075,https://www.worldometers.info//img/flags/small/tn_zi-flag.gif
